id,created_at,text
1371811174334005248,2021-03-16 13:10:45,"RT @ArfonJ: Police boss and abuse charities issue tips for men to make women feel safer when they’re out alone 

Please RT.

https://t.co/x…"
1371781799366565894,2021-03-16 11:14:02,@bet_clever Happy days what an away day that was 👌
1371158183704678400,2021-03-14 17:56:00,@Ryankirky15 Cheers but Iwan loves  it pal
1371152327474827264,2021-03-14 17:32:44,@GavinFoody She’s class oal I only a small one now and again bit very smooth
1371152066706563081,2021-03-14 17:31:42,@concretehogg @GavinFoody Me too
1371148811133931526,2021-03-14 17:18:45,@GavinFoody Good one that
1371138524225888258,2021-03-14 16:37:53,@StruberStan Awful mate my settee is due a week tomoz I can’t wait to lie on it
1371136867240964104,2021-03-14 16:31:18,Enjoy  the match lads 🍷 https://t.co/ijycwbuNql
1371131087003467779,2021-03-14 16:08:20,@chrisfox143 @WXM_Lager Hope your being pampered hun
1371128562212814850,2021-03-14 15:58:18,@JasonJskelly @JosephBloggs14 @LidlGB Hey it’s nice that but it regular in the summer mate
1371108133729411077,2021-03-14 14:37:07,@thekaraokekinga Wining and dining her pal with an m&amp;s meal deal 👌
1371107075649105923,2021-03-14 14:32:55,@Davenoddy69 You might want to squeeze 7 in to be on the safe side with it being poultry
1371080358561779716,2021-03-14 12:46:45,@powsy71 @JosephBloggs14 A nice cosy day in just sent the flamethrower to dunelm to get me a bean bag 😂
1371074587912441856,2021-03-14 12:23:49,@JosephBloggs14 Score drawn
1371072642548166659,2021-03-14 12:16:05,@JosephBloggs14 Just one or two mate will have some vino tinto feeling tender today https://t.co/efjPqafnhc
1371069726881898499,2021-03-14 12:04:30,@lexieluca22 @B19fella Upstairs for dancing mate 👌
1371022269414264832,2021-03-14 08:55:56,@SWAINY831 I’ll take a couple when I I start doing lunch pal
1371019190295990272,2021-03-14 08:43:41,Deeeew slept like a log a@
1371009118127939584,2021-03-14 08:03:40,@ToonAndy I think you may. Be right mate  👍
1370796434224787458,2021-03-13 17:58:32,@RedArmymufcok Fair play they are pal the rum lads are always the best no doubt about it
1370796073724301319,2021-03-13 17:57:06,@JasonJthompson1 Took a few pilsner but fit a nice vino tinto for later pal
1370791860252315648,2021-03-13 17:40:22,Heard a bit  of noise so Called over to see my pal the lads in the building game never stop fair play https://t.co/GTVdWPuSNr
1370764757737803778,2021-03-13 15:52:40,@RichardsChris81 I’ll wait a bit mate don’t fancy paying top dollar 🔥
1370749464290426882,2021-03-13 14:51:54,@R0550neri1899 I’ll take a glass now and again pal
1370738179452600323,2021-03-13 14:07:03,@wurzel9111 I did ffs 😂
1370717211288084484,2021-03-13 12:43:44,@ojlaw1991 Everton boro Wrexham mate 👌
1370714008018427910,2021-03-13 12:31:00,@musto_jim @Sexton_99 @connor_ctfc Ha ha class pal 😂
1370693045277057025,2021-03-13 11:07:42,@B19fella @lexieluca22 Get well soon  @lexieluca22 https://t.co/0uhE4WisdF
1370691031746875395,2021-03-13 10:59:42,@kescalton It’s 9 weeks since I had a winner mate 😂
1370689679872393216,2021-03-13 10:54:20,@HughQball81 Deeeeew looks spot on mate ❤️
1370684507062480899,2021-03-13 10:33:47,@AndrewJamesB82 How’s she getting in pal she at the naggy  stage yet 😂
1370684458509160451,2021-03-13 10:33:35,Nutsack’s rinsed the suns shining what more does a man want on a Saturday https://t.co/KwDbY9oIsP
1370674642743132160,2021-03-13 09:54:35,@Charvey17 Might wait till the stampede is over mate
1370674015262629890,2021-03-13 09:52:05,@bentrasler @RyanPercival @NileHollowell22 Duck that was left over from last night 😂
1370663905333235713,2021-03-13 09:11:55,Not feeling the love for Kenny Rogers this morning lads https://t.co/bj2khs5ri9
1370652251392458752,2021-03-13 08:25:36,@AllenWeso6 @1976_Jessy Not enough baby
1370646870394089474,2021-03-13 08:04:13,@1GarethWynJones Coffeee dump amd@rollie before I do a wee fry 👌
1370640682906480640,2021-03-13 07:39:38,@1976_Jessy Never again eh😂😂😂
1370633279527919616,2021-03-13 07:10:13,@kierannmccoy @JustGiving Sorry for@your loss condolences to you and family
1370633170975133696,2021-03-13 07:09:47,"RT @kierannmccoy: Owt would be appreciated.. Thankyou 😔❤

We're raising £1000 to I have started up this Justgiving page to help me raise fu…"
1370632899209392131,2021-03-13 07:08:42,@moodymarty65 @WXM_Lager Thanks Marty dammnit Incok after myself for a couple@of years never mind an@album or a tic… https://t.co/6QjzfpHUGu
1370632065134247940,2021-03-13 07:05:24,RT @moodymarty65: Moodymarty classic album .....And Then There Were Three. Genesis and connections to Vancouver. Congratulations @bootlegge…
1370521235004739589,2021-03-12 23:45:00,@bennicky Laying low till the sun shines pal 👌
1370520754102603777,2021-03-12 23:43:05,@bennicky Never a truer word  bigman 👌
1370517458788966403,2021-03-12 23:29:59,@AlwynOwen12 Will do hoping can get the villa end of Montg then see what happens mate
1370515672707571719,2021-03-12 23:22:53,@scyatt161 We’ve all worked for the council pal 👌
1370513273406291976,2021-03-12 23:13:21,@stephenhendrie2 A great story pal
1370513153612787715,2021-03-12 23:12:53,@HayesLockett We’ve all had an absolute gutful of it now mate let’s get this show on the road
1370513150504808453,2021-03-12 23:12:52,@Neville7hedevil I enjoy 8-10 if I’m allowed just 2 or 3 if I’m watching the footy midweek in my boxers
1370511371658539013,2021-03-12 23:05:48,@hepwo1986 better after a bit of cream on  them mate see how it goes next week
1370511059686150148,2021-03-12 23:04:34,Kenny Rogers live by request in you tube absolute class gig  👌
1370510732408807424,2021-03-12 23:03:16,@nflynn9 Know when to run away and know when to hide 👀
1370510084762140685,2021-03-12 23:00:41,Mulling it all over with a bit of a Kenny Rogers lads 👌 https://t.co/PHJqfQvPxa
1370506876924919810,2021-03-12 22:47:56,@1GarethWynJones Every prince has a princess  and you indeed have a princess but will the princess ever see you without the cap baby
1370495796714614786,2021-03-12 22:03:55,@Carlito010 https://t.co/gzgNXf0HGO
1370495009053679625,2021-03-12 22:00:47,@RobBranton99 Jesus wept no flies in you baby straight into it captain. 👌
1370494310555209730,2021-03-12 21:58:00,@WayneJacob6 Beautiful pal 👌I doubt we will ever get it there with the way it is pal hope you boys are well
1370492903559200768,2021-03-12 21:52:25,@djevs74 You know it olde pal
1370478826367692807,2021-03-12 20:56:29,@mjm17882 Biblical 👌
1370475119341101063,2021-03-12 20:41:45,Finished off this evenings steaks with the captains garlic chilly butter 👌 https://t.co/zNc1zARoFU
1370459914343170049,2021-03-12 19:41:20,@welshy1000 I bet you can’t wait to get the lads through the door pal🍺
1370441983056093191,2021-03-12 18:30:04,@markberry1878 I got 6 due tomoz mate
1370435777222557701,2021-03-12 18:05:25,@SI8BALL A fortnight on negri beach would do me mate
1370435602387247104,2021-03-12 18:04:43,@JoeGizzii Just about to join you mate
1370434565278466048,2021-03-12 18:00:36,@decharding @WXM_Lager You certainly won’t have any trouble with the Highway Code captain 👌
1370403410646863874,2021-03-12 15:56:48,@ryaanlee97 @WXM_Lager Teared straight into em I like it 😂
1370375367500951554,2021-03-12 14:05:22,RT @WXM_Lager: how it started            how it’s going https://t.co/hYeyKrvCX4
1370342430210465792,2021-03-12 11:54:29,@D_wright14 Not enough baby 👌
1370317004230516737,2021-03-12 10:13:27,"RT @WXM_Lager: There’s football on! ⚽️🔴

There’s rugby on! 🏉🏴󠁧󠁢󠁷󠁬󠁳󠁿 

Kick back, relax &amp; enjoy a Wrexham and @bootlegger1974 Pilsner (with…"
1370305193015971841,2021-03-12 09:26:31,@markcarter1986 Love that 👌what a class day that was a whole year gone in the blink of an eye will raise a pilsner tonight pal
1370098069740617737,2021-03-11 19:43:29,@PickUpAPingu I’m dreading how much it’s gunna cost mate
1370096468422447109,2021-03-11 19:37:07,@hurst_jason Had one once didn’t suit me mate https://t.co/ffuTO05BNB
1370094805867450373,2021-03-11 19:30:31,She wants me to have a shower reckons my toxic trotters are beginning to reek again but I’m having a pilsner before… https://t.co/L8p9z7lESN
1370020782730964994,2021-03-11 14:36:23,@Paskins_tache @Chris_De_Burger @FAWales @fmwales I often tag the wrong person too 😂
1369598293324488704,2021-03-10 10:37:33,@Stevelid Bore da lads get the bacon and egg on. Baby
1369598212844191747,2021-03-10 10:37:14,RT @Stevelid: Only one man for the job...... @bootlegger1974 Morninggggg lads 🍻 #gmb https://t.co/toq00GarWn
1369595565584097281,2021-03-10 10:26:43,@WXM_Lager Time flies when your having fun 🍺🍺🍺tv aka for the support lads
1369595385656786948,2021-03-10 10:26:00,"RT @WXM_Lager: 🎉🍺 @bootlegger1974 Pilsner is one year young today! 

And what a grueller of a year it’s been!

To celebrate the Captains Pi…"
